#,Custom Panel (X),SOMAmer SeqID,Target Name,Human Target or Analyte,UniProt ID,GeneID,Cardiovascular Disease,Inflammation and Immune Response,Metabolic Disease,Oncology,Combine Immune and Metabolic,Previous association with age,Previous association with Sex,Drug Targets,Bone Related or of interest,NIHM Supplemental Data,Aging and Longevity pQTLs,Rat and Human Cytokine/Chemokine Luminex,Known of Interest,Inflammatory Serum Protein Profiling of Patients,Count for Custom Panel,
32,,23665-35,PRS6A,26S protease regulatory subunit 6A,P17980,PSMC3,,X,,,,,,,,,,,,,,
33,,25456-73,PRS8,26S protease regulatory subunit 8,P62195,PSMC5,,X,,,,,,,,,,,,,,
34,,18385-4,PSD10,26S proteasome non-ATPase regulatory subunit 10,O75832,PSMD10,,,,,,,,,,,,,,,,
35,,13572-43,PSD11,26S proteasome non-ATPase regulatory subunit 11,O00231,PSMD11,,,,,,,,,,,,,,,,
36,,13568-30,PSMD4,26S proteasome non-ATPase regulatory subunit 4,P55036,PSMD4,,,,,,,,,,,,,,,,
37,,10716-35,PSMD5,26S proteasome non-ATPase regulatory subunit 5,Q16401,PSMD5,,,,,,,,,,,,,,,,
38,,23672-10,PSMD6,26S proteasome non-ATPase regulatory subunit 6,Q15008,PSMD6,,X,X,,X,,,,,,,,,,X,
39,,3898-5,PSD7,26S proteasome non-ATPase regulatory subunit 7,P51665,PSMD7,,,,,,,,,,X,,,X,,X,
40,,13931-22,PSMD9,26S proteasome non-ATPase regulatory subunit 9,O00233,PSMD9,,,,,,,,,,,,,,,,
41,,19240-265,HAP28,28 kDa heat- and acid-stable phosphoprotein,Q13442,PDAP1,,,,,,,,,,,,,,,,
42,,22845-3,RT14,"28S ribosomal protein S14, mitochondrial",O60783,MRPS14,,,,,,,,,,,,,,,,
43,,17785-11,RCL,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,O43598,DNPH1,,,,,,,,,,,,,,,,
44,,23645-49,HACL1,2-hydroxyacyl-CoA lyase 1,Q9UJ83,HACL1,,,,,,,,,,,,,,,,
45,,22112-30,COQ5,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",Q5HYK3,COQ5,,,,,,,,,,,,,,,,
46,,6079-59,ACPL2,2-phosphoxylose phosphatase 1,Q8TE99,PXYLP1,,,,,,,,,,,,,,,,
47,,17814-8,BPNT1,"3'(2'),5'-bisphosphate nucleotidase 1",O95861,BPNT1,,,,,,,,,,,,,,,,
48,,20433-19,RM01,"39S ribosomal protein L1, mitochondrial",Q9BYD6,MRPL1,,,,,,,,,,,,,,,,
49,,22554-101,RM10,"39S ribosomal protein L10, mitochondrial",Q7Z7H8,MRPL10,,,,,,,,,,,,,,,,
50,,23278-13,39S ribosomal protein L12,"39S ribosomal protein L12, mitochondrial",P52815,MRPL12,,,,,,,,,,,,,,,,
51,,8021-59,RM14,"39S ribosomal protein L14, mitochondrial",Q6P1L8,MRPL14,,,,,,,,,,,,,,,,
52,,19132-1,RM02,"39S ribosomal protein L2, mitochondrial",Q5T653,MRPL2,,,,,,,,,,,,,,,,
53,,8942-2,RM21,"39S ribosomal protein L21, mitochondrial",Q7Z2W9,MRPL21,,,,,,,,,,,,,,,,
54,,21123-1,RM28,"39S ribosomal protein L28, mitochondrial",Q13084,MRPL28,,,,,,,,,,,,,,,,
55,,7982-10,RM32,"39S ribosomal protein L32, mitochondrial",Q9BYC8,MRPL32,,,,,,,,,,,,,,,,
56,,13453-2,RM33,"39S ribosomal protein L33, mitochondrial",O75394,MRPL33,,,,,,,,,,,,,,,,
57,,6933-20,RM34,"39S ribosomal protein L34, mitochondrial",Q9BQ48,MRPL34,,,,,,,,,,,,,,,,
58,,25486-38,RM38,"39S ribosomal protein L38, mitochondrial",Q96DV4,MRPL38,,,,,,,,,,,,,,,,
59,,22557-68,RM50,"39S ribosomal protein L50, mitochondrial",Q8N5N7,MRPL50,,,,,,,,,,,,,,,,
60,,7123-25,RM52,"39S ribosomal protein L52, mitochondrial",Q86TS9,MRPL52,,,,,,,,,,,,,,,,
61,,11135-5,RM55,"39S ribosomal protein L55, mitochondrial",Q7Z7F7,MRPL55,,,,,,,,,,,,,,,,
62,,23271-20,EBP,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",Q15125,EBP,,,,,,,,,,,,,,,,
63,,5230-99,HMGR,3-hydroxy-3-methylglutaryl-coenzyme A reductase,P04035,HMGCR,,X,X,,X,,,,,,,,,,X,
64,,4217-49,ERAB,3-hydroxyacyl-CoA dehydrogenase type-2,Q99714,HSD17B10,,,,,,,,,,,,,,,,
65,,5861-78,3HAO,"3-hydroxyanthranilate 3,4-dioxygenase",P46952,HAAO,,,,,,,,,,X,,,X,,X,
66,,17329-2,BDH2,3-hydroxybutyrate dehydrogenase type 2,Q9BUT1,BDH2,,,,,,,,,,,,,,,,
67,,4693-72,3HIDH,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",P31937,HIBADH,,,,,,,,,,X,,,X,,X,
68,,12396-19,HIBCH,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",Q6NVY1,HIBCH,,,X,,,,,,,,,,,,,
69,,17782-23,THIK,"3-ketoacyl-CoA thiolase, peroxisomal",P09110,ACAA1,,,,,,,,,,,,,,,,
70,,19483-16,KDSR,3-ketodihydrosphingosine reductase,Q06136,KDSR,,X,,X,,,,,,,,,,,,
71,,8272-22,DHB7:CD,3-keto-steroid reductase:Cytoplasmic domain,P56937,HSD17B7,,,,,,,,,,,,,,,,
72,,9929-16,DHB7:ECD,3-keto-steroid reductase:Extracellular domain (partial),P56937,HSD17B7,,,,,,,,,,,,,,,,
73,,12686-15,THTM,3-mercaptopyruvate sulfurtransferase,P25325,MPST,,,,,,,,,,,,,,,,
74,,18398-1,AK1D1,3-oxo-5-beta-steroid 4-dehydrogenase,P51857,AKR1D1,,,X,,,,,,,,,,,,,
75,,18271-43,OXSM,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",Q9NWU1,OXSM,,,,,,,,,,,,,,,,
76,,4460-8,PDPK1,3-phosphoinositide-dependent protein kinase 1,O15530,PDPK1,X,X,,X,,,,,,,,,,,,
77,,13011-20,RS10,40S ribosomal protein S10,P46783,RPS10,,,,,,,,,,,,,,,,
78,,21829-8,RS12,40S ribosomal protein S12,P25398,RPS12,,,,,,,,,,,,,,,,
79,,20964-13,RS14,40S ribosomal protein S14,P62263,RPS14,,,,X,,,,,,,,,,,,
80,,19166-15,RS19,40S ribosomal protein S19,P39019,RPS19,,,,X,,,,,,,,,,,,
81,,21643-8,RS20,40S ribosomal protein S20,P60866,RPS20,,,X,X,,,,,,,,,,,,
82,,23243-120,RS25,40S ribosomal protein S25,P62851,RPS25,,,,,,,,,,,,,,,,
83,,5026-66,RS3,40S ribosomal protein S3,P23396,RPS3,,,,,,,,,,X,,,X,,X,
84,,5484-63,RS3A,40S ribosomal protein S3a,P61247,RPS3A,,,,,,,,,,X,,,X,,X,
85,,9758-17,RS4X,"40S ribosomal protein S4, X isoform",P62701,RPS4X,,,,X,,,,,,,,,,,,
86,,19195-85,RS5,40S ribosomal protein S5,P46782,RPS5,,,,,,,,,,,,,,,,
87,,3864-5,RS7,40S ribosomal protein S7,P62081,RPS7,,,,X,,,,,,X,,,X,,X,
88,,19623-26,40S ribosomal protein SA,40S ribosomal protein SA,P08865,RPSA,,X,,,,,,,,,,,,,,
89,,10430-31,4F2:CD,4F2 cell-surface antigen heavy chain:Cytoplasmic domain,P08195,SLC3A2,,,,,,,,,,,,,,,,
90,,7056-16,4F2:ECD,4F2 cell-surface antigen heavy chain:Extracellular domain,P08195,SLC3A2,,,,,,,,,,,,,,,,
91,,10024-44,HOGA1,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",Q86XE5,HOGA1,,,X,,,,,,,,,,,,,
92,,17509-6,HPPD,4-hydroxyphenylpyruvate dioxygenase,P32754,HPD,,,X,,,,,,,,,,,,,
93,,12560-9,NT5C,"5'(3')-deoxyribonucleotidase, cytosolic type",Q8TCD5,NT5C,,,,,,,,,,,,,,,,
94,,17856-23,NT5M,"5'(3')-deoxyribonucleotidase, mitochondrial",Q9NPB1,NT5M,,,,,,,,,,,,,,,,
95,,21499-17,COQ7,"5-demethoxyubiquinone hydroxylase, mitochondrial",Q99807,COQ7,,,,,,,,,,,,,,,,
96,,14107-1,MTHFS,5-formyltetrahydrofolate cyclo-ligase,P49914,MTHFS,,,,,,,,,,,,,,,,
97,,13556-28,5HT2A,5-hydroxytryptamine receptor 2A,P28223,HTR2A,,,X,,,,,,,,,,,,,
98,,13561-5,5HT6R,5-hydroxytryptamine receptor 6,P50406,HTR6,,,,,,,,,,,,,,,,
99,,13547-5,5HT7R,5-hydroxytryptamine receptor 7,P34969,HTR7,,,,,,,,,,,,,,,,
100,,25880-14,5-Lipoxygenase,5-Lipoxygenase,P09917,ALOX5,X,X,,X,,,,,,,,,,,,
101,,15452-5,5'-Nucleotidase,5'-Nucleotidase,P21589,NT5E,X,,X,X,,,,,,,,,,,,
102,,6993-8,5'-Nucleotidase,5'-Nucleotidase,P21589,NT5E,,,,,,,,,,,,,,,,
103,,25438-288,NT5D1,5'-nucleotidase domain-containing protein 1,Q5TFE4,NT5DC1,,,,,,,,,,,,,,,,
104,,9126-171,NT5D3,5'-nucleotidase domain-containing protein 3,Q86UY8,NT5DC3,,,,,,,,,,,,,,,,
105,,2682-68,HSP 60,"60 kDa heat shock protein, mitochondrial",P10809,HSPD1,X,X,X,X,X,,,,,,,,,,X,
106,,10949-59,RLA2,60S acidic ribosomal protein P2,P05387,RPLP2,,,,X,,,,,,,,,,,,
107,,21286-29,RL11,60S ribosomal protein L11,P62913,RPL11,,,,,,,,,,,,,,,,
108,,19183-164,RL12,60S ribosomal protein L12,P30050,RPL12,,,,,,,,,,,,,,,,
109,,21583-14,RL26L,60S ribosomal protein L26-like 1,Q9UNX3,RPL26L1,,,,,,,,,,,,,,,,
110,,12478-15,RL30,60S ribosomal protein L30,P62888,RPL30,,,,,,,,,,,,,,,,
111,,22553-4,RL38,60S ribosomal protein L38,P63173,RPL38,,,,,,,,,,,,,,,,
112,,20999-12,RL5,60S ribosomal protein L5,P46777,RPL5,,X,,,,,,,,,,,,,,
113,,12564-9,NIP7,60S ribosome subunit biogenesis protein NIP7 homolog,Q9Y221,NIP7,,,,,,,,,,,,,,,,
114,,22141-59,F261,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1",P16118,PFKFB1,,,,,,,,,,,,,,,,
115,,12456-5,F263,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",Q16875,PFKFB3,X,,X,,,,,,,,,,,,,
116,,25041-11,F264,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4",Q16877,PFKFB4,,,,,,,,,,,,,,,,
117,,4187-49,6-Phosphogluconate dehydrogenase,"6-phosphogluconate dehydrogenase, decarboxylating",P52209,PGD,,,,,,,,,,X,,,X,,X,
118,,17799-9,6PGL,6-phosphogluconolactonase,O95336,PGLS,,,X,,,,,,,,,,,,,
119,,12014-19,PTPS,6-pyruvoyl tetrahydrobiopterin synthase,Q03393,PTS,,,X,,,,,,,,,,,,,
120,,19206-20,8ODP,"7,8-dihydro-8-oxoguanine triphosphatase",P36639,NUDT1,,,,,,,,,,,,,,,,
121,,11370-20,INP5E,72 kDa inositol polyphosphate 5-phosphatase,Q9NRR6,INPP5E,,,X,,,,,,,,,,,,,
122,,4160-49,MMP-2,72 kDa inositol polyphosphate 5-phosphatase,P08253,MMP2,X,X,X,X,X,,,,,X,,,X,,X,
123,,16588-10,BiP,78 kDa glucose-regulated protein,P11021,HSPA5,X,X,X,X,X,,,,,,,,,,X,
124,,19135-5,Cytosolic 5'-nucleotidase III-like protein,7-methylguanosine phosphate-specific 5'-nucleotidase,Q969T7,NT5C3B,,,,,,,,,,,,,,,,
125,,3174-2,ATS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,Q9UHI8,ADAMTS1,,,,X,,,,,,X,,,X,,X,
126,,3175-51,ATS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,ADAMTS13,X,X,,,,X,,,,,,,X,,X,
127,,4533-76,ATS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,Q8TE58,ADAMTS15,,,,X,,,,,,,,,,,,
128,,8845-2,ATS3,A disintegrin and metalloproteinase with thrombospondin motifs 3,O15072,ADAMTS3,,,,,,,,,,,,,,,,
129,,2809-25,ADAMTS-4,A disintegrin and metalloproteinase with thrombospondin motifs 4,O75173,ADAMTS4,,,,,,,,,,,,,,,,
130,,3168-8,ADAMTS-5,A disintegrin and metalloproteinase with thrombospondin motifs 5,Q9UNA0,ADAMTS5,,,,,,X,,,,,,,X,,X,
131,,6441-62,ATS6,A disintegrin and metalloproteinase with thrombospondin motifs 6,Q9UKP5,ADAMTS6,,,,,,,,,,,,,,,,
132,,9794-17,ADCK4,AarF domain-containing protein kinase 4,Q96D53,COQ8B,,,,,,,,,,,,,,,,
133,,3342-76,ABL2,Abelson tyrosine-protein kinase 2,P42684,ABL2,,,,,,,,,,X,,,X,,X,
134,,5261-13,ABL2,Abelson tyrosine-protein kinase 2,P42684,ABL2,,,,,,,,,,X,,,X,,X,
135,,23553-1,ABI3,ABI gene family member 3,Q9P2A4,ABI3,,,,,,,,,,,,,,,,
136,,25889-108,AIM2,Absent in melanoma 2,O14862,AIM2,,,,,,,,,,,,,,,,
137,,21515-61,AACS,Acetoacetyl-CoA synthetase,Q86V21,AACS,,,,,,,,,,,,,,,,
138,,10980-11,ACES,Acetylcholinesterase,P22303,ACHE,,,X,X,,,,,,,,,,,,
139,,15553-22,ACES,Acetylcholinesterase,P22303,ACHE,,,,,,,,,,,,,,,,
140,,17341-89,THIC,"Acetyl-CoA acetyltransferase, cytosolic",Q9BWD1,ACAT2,,,X,,,,,,,,,,,,,
141,,19197-95,THIL,"Acetyl-CoA acetyltransferase, mitochondrial",P24752,ACAT1,,,X,,,,,,,,,,,,,
142,,25094-9,ACSA,"Acetyl-coenzyme A synthetase, cytoplasmic",Q9NR19,ACSS2,,,,,,,,,,,,,,,,
143,,5748-20,Acid ceramidase,Acid ceramidase,Q13510,ASAH1,X,X,X,,X,,,,,,,,,,X,
144,,14086-11,ASM3A,Acid sphingomyelinase-like phosphodiesterase 3a,Q92484,SMPDL3A,,,,,,,,,,X,,,X,,X,
145,,4771-10,ASM3A,Acid sphingomyelinase-like phosphodiesterase 3a,Q92484,SMPDL3A,,,,,,,,,,X,,,X,,X,
146,,19169-88,FIBP,Acidic fibroblast growth factor intracellular-binding protein,O43427,FIBP,,,,,,,,,,,,,,,,
147,,13073-14,AN32A,Acidic leucine-rich nuclear phosphoprotein 32 family member A,P39687,ANP32A,,,,,,,,,,,,,,,,
148,,4194-26,AN32B,Acidic leucine-rich nuclear phosphoprotein 32 family member B,Q92688,ANP32B,,,,,,,,,,,,,,,,
149,,22398-5,AN32C,Acidic leucine-rich nuclear phosphoprotein 32 family member C,O43423,ANP32C,,,,,,,,,,,,,,,,
150,,16591-71,CHIA,Acidic mammalian chitinase,Q9BZP6,CHIA,,,,,,,,,,,,,,,,
151,,6951-26,ASIC4,Acid-sensing ion channel 4,Q96FT7,ASIC4,,,,,,,,,,,,,,,,
152,,10507-166,sperm protein 10,Acrosomal protein SP-10,P26436,ACRV1,,,,,,,,,,,,,,,,
153,,15301-24,sperm protein 10,Acrosomal protein SP-10,P26436,ACRV1,,,,,,,,,,,,,,,,
154,,9889-42,AF1L1,Actin filament-associated protein 1-like 1,Q8TED9,AFAP1L1,,,,,,,,,,,,,,,,
155,,24445-38,AF1L2,Actin filament-associated protein 1-like 2,Q8N4X5,AFAP1L2,,,,,,,,,,,,,,,,
156,,13578-98,ABLM3,Actin-binding LIM protein 3,O94929,ABLIM3,,,,,,,,,,,,,,,,
157,,12689-56,ARC1B,Actin-related protein 2/3 complex subunit 1B,O15143,ARPC1B,,,,,,,,,,,,,,,,
158,,23376-56,ARPC2,Actin-related protein 2/3 complex subunit 2,O15144,ARPC2,,,,,,,,,,,,,,,,
159,,13573-5,p21-ARC,Actin-related protein 2/3 complex subunit 3,O15145,ARPC3,,,,,,,,,,,,,,,,
160,,18419-20,p16-ARC,Actin-related protein 2/3 complex subunit 5,O15511,ARPC5,,,,,,,,,,,,,,,,
161,,3758-63,Activated Protein C,Activated Protein C,P04070,PROC,,,X,,,,,,,X,,,X,,X,
162,,3758-68,Activated Protein C,Activated Protein C,P04070,PROC,,,,,,,,,,X,,,X,,X,
163,,19236-24,TCP4,Activated RNA polymerase II transcriptional coactivator p15,P53999,SUB1,,,,,,,,,,,,,,,,
164,,10647-18,ASCC1,Activating signal cointegrator 1 complex subunit 1,Q8N9N2,ASCC1,,,,,,,,,,,,,,,,
165,,24476-18,ASC-1 complex subunit p100,Activating signal cointegrator 1 complex subunit 2,Q9H1I8,ASCC2,,,,,,,,,,,,,,,,
166,,11633-89,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,O95433,AHSA1,,,,,,,,,,,,,,,,
167,,8008-28,HRK,Activator of apoptosis harakiri,O00198,HRK,,,,,,,,,,,,,,,,
168,,21958-4,ABR,Active breakpoint cluster region-related protein,Q12979,ABR,,,,,,,,,,,,,,,,
169,,19622-7,Activin A,Activin A,P08476,INHBA,,,,X,,,,,,X,,,X,,X,
170,,2748-3,Activin A,Activin A,P08476,INHBA,,,,,,,,,,X,,,X,,X,
171,,16746-12,Activin B,Activin B,P09529,INHBB,,,,,,,,,,,,,,,,
172,,2806-49,Activin RIB,Activin receptor type-1B,P36896,ACVR1B,,,,,,,,,,X,,,X,,X,
173,,19208-8,Activin RIIA,Activin receptor type-2A,P27037,ACVR2A,,,,,,,,,,,,,,,,
174,,9412-52,Activin RIIB,Activin receptor type-2B,Q13705,ACVR2B,X,,,,,,,,,,,,,,,
175,,21703-31,Activin RIA,Activin RIA,Q04771,ACVR1,,,X,X,,,,,,,,,,,,
176,,21343-3,ARC,Activity-regulated cytoskeleton-associated protein,Q7LC44,ARC,,,,,,,,,,,,,,,,
177,,17466-72,ACSF2,"Acyl-CoA synthetase family member 2, mitochondrial",Q96CM8,ACSF2,,,,,,,,,,,,,,,,
178,,23692-19,ACSS3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",Q9H6R3,ACSS3,,,,,,,,,,,,,,,,
179,,24686-19,ACBD4,Acyl-CoA-binding domain-containing protein 4,Q8NC06,ACBD4,,,,,,,,,,,,,,,,
180,,10075-75,ACBD6,Acyl-CoA-binding domain-containing protein 6,Q9BR61,ACBD6,,,,,,,,,,,,,,,,
181,,19341-36,ACBD6,Acyl-CoA-binding domain-containing protein 6,Q9BR61,ACBD6,,,,,,,,,,,,,,,,
182,,13563-259,ACBD7,Acyl-CoA-binding domain-containing protein 7,Q8N6N7,ACBD7,,,,,,,,,,,,,,,,
183,,16919-1,ACBP,Acyl-CoA-binding protein,P07108,DBI,,,,X,,,,,,,,,,,,
184,,23601-43,ACO12,Acyl-coenzyme A thioesterase 12,Q8WYK0,ACOT12,,,,,,,,,,,,,,,,
185,,17675-17,ACO13,Acyl-coenzyme A thioesterase 13,Q9NPJ3,ACOT13,,,,,,,,,,,,,,,,
186,,17400-71,ACOT8,Acyl-coenzyme A thioesterase 8,O14734,ACOT8,,,,,,,,,,,,,,,,
187,,23298-148,THEM4,Acyl-coenzyme A thioesterase THEM4,Q5T1C6,THEM4,,,,,,,,,,,,,,,,
188,,20370-6,ACYP1,Acylphosphatase-1,P07311,ACYP1,,,,,,,,,,,,,,,,
189,,12812-25,ACYP2,Acylphosphatase-2,P14621,ACYP2,,,,,,,,,,,,,,,,
190,,17819-30,FAHD1,"Acylpyruvase FAHD1, mitochondrial",Q6P587,FAHD1,,,,,,,,,,,,,,,,
191,,21681-10,ADAM 28,ADAM 28,Q9UKQ2,ADAM28,,,,X,,,,,,,,,,,,
192,,21440-9,ADAM-8,ADAM 8,P78325,ADAM8,,,,X,,,,,,,,,,,,
193,,9115-78,ADEC1,ADAM DEC1,O15204,ADAMDEC1,,,,,,,,,,,,,,,,
194,,16890-37,ATL1,ADAMTS-like protein 1,Q8N6G6,ADAMTSL1,,,,,,,,,,,,,,,,
195,,6575-79,ATL1,ADAMTS-like protein 1,Q8N6G6,ADAMTSL1,,,,,,,,,,,,,,,,
196,,6379-62,ATL2,ADAMTS-like protein 2,Q86TH1,ADAMTSL2,X,,X,,,,,,,,,,,,,
197,,4976-57,CRK,Adapter molecule crk,P46108,CRK,X,,,,,,,,,X,,,X,,X,
198,,20915-68,NECP2,Adaptin ear-binding coat-associated protein 2,Q9NVZ3,NECAP2,,,,,,,,,,,,,,,,
199,,10030-8,MutY homolog,Adenine DNA glycosylase,Q9UIF7,MUTYH,,,,X,,,,,,,,,,,,
200,,10088-37,APT,Adenine phosphoribosyltransferase,P07741,APRT,,,X,X,,,,,,,,,,,,
6770,,8304-50,OPG,Tumor necrosis factor receptor superfamily member 11B,O00300,TNFRSF11B,X,X,X,,X,,,,,,,,,X,X,
202,,6077-63,CECR1,Adenosine deaminase CECR1,Q9NZK5,ADA2,X,X,X,,X,,,,,,,,,,X,
203,,19207-119,ADK,Adenosine kinase,P55263,ADK,,,,,,,,,,,,,,,,
204,,21393-62,SAHH,Adenosylhomocysteinase,P23526,AHCY,,,X,,,,,,,,,,,,,
205,,12652-37,SAHH2,Adenosylhomocysteinase 2,O43865,AHCYL1,,,,,,,,,,,,,,,,
206,,11368-32,KAD2,"Adenylate kinase 2, mitochondrial",P54819,AK2,,X,X,,X,,,,,,,,,,X,
207,,17432-25,KAD4,"Adenylate kinase 4, mitochondrial",P27144,AK4,,,,,,,,,,,,,,,,
208,,5012-67,"Myokinase, human",Adenylate kinase isoenzyme 1,P00568,AK1,X,X,,,,,,,,X,,,X,,X,
209,,13613-23,Adenylate kinase isoenzyme 5,Adenylate kinase isoenzyme 5,Q9Y6K8,AK5,,,,,,,,,,,,,,,,
210,,5023-23,PUR8,Adenylosuccinate lyase,P30566,ADSL,,,X,,,,,,,,,,,,,
211,,13998-26,PURA1,Adenylosuccinate synthetase isozyme 1,Q8N142,ADSS1,,,,,,,,,,,,,,,,
212,,12644-63,PURA2,Adenylosuccinate synthetase isozyme 2,P30520,ADSS2,,,,,,,,,,,,,,,,
213,,12034-28,CAP 1,Adenylyl cyclase-associated protein 1,Q01518,CAP1,,,X,,,,,,,,,,,,,
214,,14229-5,MOCS3,Adenylyltransferase and sulfurtransferase MOCS3,O95396,MOCS3,,,,,,,,,,,,,,,,
215,,22588-35,AGRB2,Adhesion G protein-coupled receptor B2,O60241,ADGRB2,,,,,,,,,,,,,,,,
216,,15365-41,BAI3,Adhesion G protein-coupled receptor B3,O60242,ADGRB3,,,,,,,,,,,,,,,,
217,,4546-27,EMR2,Adhesion G protein-coupled receptor E2,Q9UHX3,ADGRE2,X,X,,,,,,,,X,X,,X,,X,
218,,6409-57,GP116,Adhesion G protein-coupled receptor F5,Q8IZF2,ADGRF5,,,,,,,,,,,,,,,,
219,,21546-20,AGRD1,Adhesion G-protein coupled receptor D1,Q6QNK2,ADGRD1,,,,,,,,,,,,,,,,
